,age,group,plus,zero
1969,1,4,75,1
1982,0,4,85,1
1983,0,4,85,1
1984,0,4,85,1
1985,0,4,85,1
1986,0,4,85,1
1987,1,4,85,1
1988,0,4,85,1
1989,0,4,85,1
1990,0,4,85,1
1991,1,4,100,1
1992,0,4,85,1
1993,0,4,90,1
1994,1,4,85,1
1995,1,4,90,1
1996,1,4,90,1
1997,1,4,90,1
1998,0,4,85,0
1999,0,4,85,0
2000,0,4,85,0
2001,1,4,100,1
2002,1,4,90,1
2003,1,0,90,1
2004,1,0,90,1
2005,1,0,90,1
2006,1,0,90,1
2007,1,0,90,1
2008,1,0,90,1
2009,1,0,90,1
2010,1,0,90,1
2011,1,4,100,1
2012,1,4,90,1
2013,1,0,100,1
2014,1,4,100,1
2015,1,4,100,1
2016,1,4,100,1
2017,1,4,110,1
2018,1,4,100,1
